module_completion_speed,device_concurrency_count,face_simmilarity_index,liveness_stauts,ip_risk_score,training_center_id,is_fake_trainee,face_similarity_index,liveness_status
41.83142024388676,1,0.9032108031807292,1.0,0,TC_NASHIK_02,0,,
37.419229142142925,2,0.9163614039480766,1.0,0,TC_NAGPUR_01,0,,
19.171856203019892,1,0.8195508462679357,1.0,0,TC_NAGPUR_01,0,,
44.63400605484671,1,0.8227361804035841,1.0,0,TC_NAGPUR_01,0,,
54.90113066074366,1,0.8832285468783949,1.0,0,TC_PUNE_03,0,,
48.452009976744314,1,0.8972839813620233,1.0,0,TC_NASHIK_02,0,,
28.634354717254343,1,0.6636512921219174,1.0,0,TC_PUNE_03,0,,
25.96381874536635,2,0.8387780433040233,1.0,0,TC_NASHIK_02,0,,
27.02376003388526,1,0.805902277127127,1.0,0,TC_PUNE_03,0,,
37.96885072990936,1,0.949394270907433,1.0,0,TC_MUMBAI_01,0,,
22.49856317185496,1,0.8589045971631017,1.0,0,TC_MUMBAI_01,0,,
42.69859445086847,1,0.8275624182672072,1.0,0,TC_PUNE_03,0,,
39.375666665724474,2,0.995543642316538,1.0,0,TC_NASHIK_02,0,,
32.879071224658496,1,0.8681413701286318,1.0,0,TC_MUMBAI_01,0,,
77.19256465052025,1,0.8513601318824917,1.0,0,TC_NAGPUR_01,0,,
28.098411732279928,1,0.9583332696463482,1.0,0,TC_NAGPUR_01,0,,
2.435357116292542,6,,,1,TC_RURAL_MALPRACTICE_09,1,0.34781877224197166,1.0
120.02667758008309,1,0.8810811010017834,1.0,0,TC_NASHIK_02,0,,
43.64932564420768,1,0.6452958363328686,1.0,0,TC_MUMBAI_01,0,,
33.4006346349647,1,0.7612365552306638,1.0,0,TC_NASHIK_02,0,,
52.22869189152574,1,0.7252554944128287,0.0,0,TC_NASHIK_02,0,,
36.52388226967089,1,0.8974825504483307,1.0,0,TC_NAGPUR_01,0,,
31.60334582821543,1,0.7027893497341069,1.0,0,TC_MUMBAI_01,0,,
2.0681738870554884,14,,,1,TC_NAGPUR_01,1,0.30436388249193347,0.0
26.489778077832984,1,0.793036768370012,1.0,0,TC_MUMBAI_01,0,,
30.082235644813537,1,0.8340061936580513,1.0,0,TC_NASHIK_02,0,,
1.0912659959350366,15,,,1,TC_RURAL_MALPRACTICE_09,1,0.18634286965633143,0.0
45.8071380524455,1,0.8070238675123483,1.0,0,TC_MUMBAI_01,0,,
36.867160881738144,1,0.9537683264038408,1.0,0,TC_NAGPUR_01,0,,
41.3651093909849,1,0.7701693675186415,1.0,0,TC_NAGPUR_01,0,,
32.7742012348336,1,0.81503703280812,1.0,0,TC_NASHIK_02,0,,
93.31835572819003,1,0.877703205656257,1.0,0,TC_NAGPUR_01,0,,
51.58441870029249,1,0.7981743640270248,1.0,0,TC_MUMBAI_01,0,,
32.923174227196625,1,0.824518836650262,1.0,0,TC_NAGPUR_01,0,,
23.206585793256608,1,0.9032579142292764,1.0,0,TC_MUMBAI_01,0,,
55.98198491560403,1,0.8491026894161824,1.0,0,TC_MUMBAI_01,0,,
35.64648114358749,1,0.9754053307011047,1.0,0,TC_NASHIK_02,0,,
36.185499260889856,1,0.5700885919192883,1.0,0,TC_NAGPUR_01,0,,
26.485553918957038,1,0.7261067428670269,1.0,0,TC_NASHIK_02,0,,
32.28796237702139,1,0.9060188337571082,1.0,0,TC_MUMBAI_01,0,,
50.863092325621366,1,0.8007643372123461,1.0,0,TC_NAGPUR_01,0,,
